0.495	0.1544493037
0.485	0.2069807627
0.475	0.2343544432
0.465	0.2505391238
0.455	0.2607324667
0.445	0.2673774646
0.435	0.2717757977
0.425	0.2746801906
0.415	0.2765524402
0.405	0.2776890111
0.395	0.2782872406
0.385	0.2784824301
0.375	0.2783696604
0.365	0.2780171455
0.355	0.2774746866
0.345	0.2767791808
0.335	0.275958301
0.325	0.275033008
0.315	0.2740192999
0.305	0.2729294505
0.295	0.2717729001
0.285	0.2705569039
0.275	0.2692870109
0.265	0.2679674204
0.255	0.2666012499
0.245	0.265190738
0.235	0.2637373986
0.225	0.2622421381
0.215	0.2607053444
0.205	0.2591269546
0.195	0.2575065043
0.185	0.2558431633
0.175	0.2541357592
0.165	0.2523827906
0.155	0.250582431
0.145	0.2487325236
0.135	0.2468305673
0.125	0.2448736915
0.115	0.2428586208
0.105	0.2407816244
0.095	0.2386384473
0.085	0.2364242167
0.075	0.2341333124
0.065	0.2317591843
0.055	0.2292940836
0.045	0.2267286504
0.035	0.2240512315
0.025	0.2212466364
0.015	0.218293487
0.005	0.2151567421
