0.495	-0.06289265021	0.495	0.3340151715	0.495	-0.165260499	0.495	0.21965457
0.485	-0.0872058283	0.485	0.4827953136	0.485	-0.2330055188	0.485	0.319951279
0.475	-0.1006674822	0.475	0.5821953016	0.475	-0.2737700529	0.475	0.3889010463
0.465	-0.1083690452	0.465	0.6561555618	0.465	-0.3002817279	0.465	0.441907407
0.455	-0.1124011507	0.455	0.7141716596	0.455	-0.3176860597	0.455	0.485049932
0.445	-0.1138896039	0.445	0.7612146992	0.445	-0.3287152146	0.445	0.521503112
0.435	-0.1135279218	0.435	0.8002761169	0.435	-0.3350292721	0.435	0.5531771367
0.425	-0.1117784175	0.425	0.8333101711	0.425	-0.3377186066	0.425	0.5813235475
0.415	-0.1089657012	0.415	0.8616642463	0.415	-0.3375356206	0.415	0.6068109864
0.405	-0.1053263176	0.405	0.8863034897	0.405	-0.335016768	0.405	0.6302688913
0.395	-0.101037586	0.395	0.9079393417	0.395	-0.330552819	0.395	0.6521697021
0.385	-0.09623547615	0.385	0.9271080948	0.385	-0.3244319407	0.385	0.6728792318
0.375	-0.09102623884	0.375	0.9442213512	0.375	-0.3168673146	0.375	0.6926892461
0.365	-0.0854942651	0.365	0.959599707	0.365	-0.3080153839	0.365	0.7118395306
0.355	-0.07970755961	0.355	0.9734959444	0.355	-0.2979881097	0.355	0.7305335012
0.345	-0.07372164984	0.345	0.9861114128	0.345	-0.2868611932	0.345	0.7489497685
0.335	-0.0675824374	0.335	0.9976078455	0.335	-0.2746794185	0.335	0.7672511795
0.325	-0.06132831621	0.325	1.008116041	0.325	-0.2614597859	0.325	0.7855923806
0.315	-0.05499177156	0.315	1.017742339	0.315	-0.2471927739	0.315	0.8041267004
0.305	-0.04860060484	0.305	1.026573519	0.305	-0.2318417979	0.305	0.8230130658
0.295	-0.04217888418	0.295	1.034680542	0.295	-0.2153406604	0.295	0.8424237367
0.285	-0.03574769159	0.285	1.042121453	0.285	-0.1975884171	0.285	0.8625538974
0.275	-0.0293257174	0.275	1.04894363	0.275	-0.1784404822	0.275	0.8836347306
0.265	-0.02292973886	0.265	1.055185562	0.265	-0.1576936603	0.265	0.9059528298
0.255	-0.01657501041	0.255	1.060878248	0.255	-0.1350604084	0.255	0.9298815125
0.245	-0.01027558608	0.245	1.066046304	0.245	-0.1101220404	0.245	0.9559360449
0.235	-0.004044589683	0.235	1.07070885	0.235	-0.08223571961	0.235	0.9848820753
0.225	0.002105555061	0.225	1.074880213	0.225	-0.05032326177	0.225	1.01798134
0.215	0.008162924863	0.215	1.078570487	0.215	-0.01228115836	0.215	1.057680711
0.205	0.01411592009	0.205	1.081785969	0.205	0.0373990873	0.205	1.110416207
0.195	0.01995310448	0.195	1.084529512	0.195	0.1322363038	0.195	1.216066075
0.185	0.02566305585	0.185	1.086800785	0.185	0.1440378429	0.185	1.221050984
0.175	0.03123422316	0.175	1.088596471	0.175	0.1612907243	0.175	1.23398402
0.165	0.03665478518	0.165	1.089910413	0.165	0.1782388606	0.165	1.24709212
0.155	0.04191250642	0.155	1.090733704	0.155	0.1938051832	0.155	1.258771842
0.145	0.04699458545	0.145	1.09105474	0.145	0.2078432078	0.145	1.268694812
0.135	0.05188749028	0.135	1.09085924	0.135	0.2204189938	0.135	1.276849952
0.125	0.05657677418	0.125	1.09013024	0.125	0.2316420194	0.125	1.283308475
0.115	0.06104686379	0.115	1.088848067	0.115	0.241619108	0.115	1.288155203
0.105	0.06528080832	0.105	1.086990322	0.105	0.2504418168	0.105	1.291466976
0.095	0.06925997436	0.095	1.084531861	0.095	0.2581839505	0.095	1.293306306
0.085	0.07296366297	0.085	1.081444838	0.085	0.2649021552	0.085	1.293720344
0.075	0.07636861333	0.075	1.077698821	0.075	0.2706372501	0.075	1.292741735
0.065	0.079448333	0.065	1.073261047	0.065	0.275415456	0.065	1.290390101
0.055	0.08217214979	0.055	1.068096891	0.055	0.2792491643	0.055	1.286673678
0.045	0.08450378438	0.045	1.062170625	0.045	0.2821369708	0.045	1.281590873
0.035	0.08639902328	0.035	1.055446533	0.035	0.2840625204	0.035	1.275131456
0.025	0.08780149294	0.025	1.047890351	0.025	0.2849910839	0.025	1.267276739
0.015	0.08863366264	0.015	1.039470675	0.015	0.2848607283	0.015	1.257996857
0.005	0.08877147563	0.005	1.030158608	0.005	0.2835554023	0.005	1.24723788
